type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-1/2 STORY - UNFINISHED ALL AGES,Residential Low-Density,55,5500,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Below Average,Above Average,1956,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,882,882,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,882,0,882,0,1,1,1,Average/Typical,4,Typical Functionality,0,No,No,No,0,0,No,Paved,0,0,No,Minimum Privacy,No,Apr,2007,Warranty Deed - Conventional,Normal Sale,103200
1-STORY W/FINISHED ATTIC ALL AGES,Residential Medium Density,40,5400,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Above Average,Good,1926&2004,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Low Quality&Unfinished,370,779,1149,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1149,467,1616,0,2,3,1,Good,5,Typical Functionality,0,No,Detached from home,Unfinished,1,216,Average/Typical,Paved,0,0,No,No,No,Oct,2007,Warranty Deed - Conventional,Normal Sale,152000
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,62,10106,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,2fmCon,One and one-half story: 2nd level finished,Average,Good,1940&1999,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Average Rec Room,351,112,644,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,808,547,1355,1,2,4,2,Average/Typical,6,Typical Functionality,0,No,No,No,0,0,No,Paved,140,0,No,No,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,127500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10708,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Single-family Detached,One story,Average,Average,1955&1993,Hip,Standard (Composite) Shingle,Wood Siding,0,Good&Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Below Average Living Quarters,379,470,1617,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1867,0,1867,1,1,2,1,Average/Typical,7,Typical Functionality,3,Good,Attached to the home,Finished,1,303,Average/Typical,Paved,476,0,No,Good Wood,No,Nov,2009,Court Officer Deed/Estate,Normal Sale,190000
2-STORY 1946 & NEWER,Residential Low-Density,86,10562,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Very Good,Average,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,300,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1288,294,1582,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1610,551,2161,1,1,3,1,Excellent,8,Typical Functionality,1,Good,Attached to the home,Finished,3,789,Average/Typical,Paved,178,120,No,No,No,Nov,2007,Home just constructed and sold,Home was not completed when last assessed,325624
2-STORY 1946 & NEWER,Residential Low-Density,62,8244,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Good,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,840,840,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,840,880,1720,0,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Finished,2,440,Average/Typical,Paved,100,48,No,No,No,May,2007,Warranty Deed - Conventional,Normal Sale,183500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,16669,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Timberland,Normal,Single-family Detached,One story,Very Good,Above Average,1981,Hip,Wood Shakes,Plywood,653,Good&Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1686,1686,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1707,0,1707,0,2,2,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,511,Average/Typical,Paved,574,64,No,No,No,Jan,2006,Warranty Deed - Conventional,Normal Sale,228000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,0,12358,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1941&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,360,360,720,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,854,0,1382,0,1,2,1,Average/Typical,7,Typical Functionality,0,No,Detached from home,Unfinished,2,660,Average/Typical,Paved,237,0,No,No,No,May,2007,Warranty Deed - Conventional,Normal Sale,128500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,141,31770,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1960,Hip,Standard (Composite) Shingle,Brick Face,112,Average/Typical,Cinder Block,Typical (80-89 inches),Good,Good Exposure,Below Average Living Quarters&Unfinished,639,441,1080,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1656,0,1656,1,1,3,1,Average/Typical,7,Typical Functionality,2,Good,Attached to the home,Finished,2,528,Average/Typical,Partial Pavement,210,62,No,No,No,May,2010,Warranty Deed - Conventional,Normal Sale,215000
2-STORY PUD - 1946 & NEWER,Residential Low-Density,44,5306,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Stone Brook,Normal,Townhouse End Unit,Two-story,Good,Good,1987,Gable,Standard (Composite) Shingle,Hard Board,0,Good,Poured Concrete,Good (90-99 inches),Good,No Exposure,Good Living Quarters&Average Rec Room,495,354,1064,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1064,703,1767,1,2,2,1,Good,5,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,504,Good&Average/Typical,Paved,441,35,No,No,No,Jun,2006,Warranty Deed - Conventional,Normal Sale,239000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10197,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1961,Gable,Standard (Composite) Shingle,Wood Shingles,491,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Average Rec Room,288,700,1362,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1362,0,1362,1,1,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Unfinished,2,504,Average/Typical,Paved,0,20,No,No,No,Jun,2008,Court Officer Deed/Estate,Normal Sale,163000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,12416,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Single-family Detached,One story,Above Average,Average,1986,Gable,Standard (Composite) Shingle,Vinyl Siding,132,Average/Typical,Cinder Block,Good (90-99 inches),Fair - dampness or some cracking or settling,No Exposure,Average Living Quarters&Low Quality,1398,0,1606,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1651,0,1651,1,2,3,1,Average/Typical,7,Minor Deductions 2,1,Average,Attached to the home,Finished,2,616,Average/Typical,Paved,192,0,No,No,No,Nov,2008,Warranty Deed - Conventional,Normal Sale,184000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,12615,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Single-family Detached,One story,Above Average,Good,1950&2001,Gable,Standard (Composite) Shingle,Wood Shingles,0,Average/Typical,Cinder Block,Typical (80-89 inches),Good,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Unfinished,477,725,1202,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2158,0,2158,1,2,4,1,Good,7,Typical Functionality,1,Good,Attached to the home,Unfinished,2,576,Average/Typical,Paved,0,29,No,Minimum Privacy,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,243000
2-STORY 1946 & NEWER,Residential Low-Density,97,10029,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Clear Creek,Normal,Single-family Detached,Two-story,Above Average,Average,1988&1989,Gable,Standard (Composite) Shingle,Plywood,268,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,831,320,1151,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1164,896,2060,0,2,4,1,Average/Typical,8,Typical Functionality,1,Average,Attached to the home,Unfinished,2,521,Average/Typical,Paved,0,228,No,No,No,Sep,2007,Warranty Deed - Conventional,Normal Sale,211000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,13650,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Average,1958,Gable,Standard (Composite) Shingle,Metal Siding,0,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Below Average Living Quarters,57,554,1052,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1252,668,1920,1,2,4,1,Good,8,Typical Functionality,1,Good,Attached to the home,Unfinished,2,451,Average/Typical,Paved,0,0,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,172500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,17423,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Stone Brook,Normal,Single-family Detached,One story,Excellent,Average,2008&2009,Hip,Standard (Composite) Shingle,Vinyl Siding,748,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1904,312,2216,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2234,0,2234,1,2,1,1,Excellent,9,Typical Functionality,1,Good,Attached to the home,Finished,3,1166,Average/Typical,Paved,0,60,No,No,No,Jul,2009,Home just constructed and sold,Home was not completed when last assessed,501837
1-STORY 1945 & OLDER,Residential Medium Density,60,8520,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Average,Above Average,1923&2006,Gable,Standard (Composite) Shingle,Wood Siding,0,Good&Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,968,968,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,968,0,968,0,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,2,480,Fair&Average/Typical,Dirt/Gravel,0,0,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,100000
2-STORY PUD - 1946 & NEWER,Floating Village Residential,0,2117,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Twnhs,Two-story,Above Average,Average,2000,Gable,Standard (Composite) Shingle,Metal Siding,456,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,436,320,756,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,769,756,1525,0,2,3,1,Good,5,Typical Functionality,1,Average,Detached from home,Unfinished,2,440,Average/Typical,Paved,0,0,No,No,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,177000
2-STORY 1945 & NEWER,Residential Low-Density,54,7588,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Single-family Detached,Two-story,Good,Above Average,1920&1950,Gable,Standard (Composite) Shingle,Stucco,0,Average/Typical,Brick & Tile,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,352,441,793,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,901,901,1802,0,1,4,1,Average/Typical,9,Typical Functionality,1,Good,Detached from home,Unfinished,1,216,Fair&Average/Typical,Paved,0,0,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,200100
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,9060,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Adjacent to arterial street&Normal,Single-family Detached,One story,Average,Above Average,1957&2006,Hip,Standard (Composite) Shingle,Wood Siding,98,Average/Typical,Poured Concrete,No,No,No Exposure,No,0,0,0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1340,0,1340,0,1,3,1,Average/Typical,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,1,252,Average/Typical,Paved,116,0,No,Minimum Privacy,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,120000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,63,11426,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1362,1362,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1362,720,2082,0,2,3,1,Good,6,Moderate Deductions,0,No,Detached from home,Unfinished,2,484,Average/Typical,Dirt/Gravel,280,238,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,200000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,92,7438,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Adjacent to North-South Railroad&Adjacent to feeder street,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,1908&1991,Gable,Standard (Composite) Shingle,Asbestos Shingles,0,Average/Typical,Poured Concrete,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,504,504,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,936,316,1252,0,1,3,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Unfinished,2,576,Average/Typical,Paved,104,0,No,Minimum Privacy,No,Jun,2006,Warranty Deed - Conventional,Normal Sale,127000
2-1/2 STORY ALL AGES,Residential Medium Density,90,22950,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,Two and one-half story: 2nd level finished,Very Excellent,Excellent,1892&1993,Gable,Wood Shingles,Wood Siding,0,Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,1107,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1518,1518,3608,0,2,4,1,Excellent,12,Typical Functionality,2,Average,Detached from home,Unfinished,3,840,Excellent&Average/Typical,Paved,0,260,No,Good Privacy,No,Jun,2006,Warranty Deed - Conventional,Normal Sale,475000
SPLIT OR MULTI-LEVEL,Residential Low-Density,0,9947,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Single-family Detached,Split Level,Good,Average,1990&1991,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,611,577,1188,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1217,0,1217,1,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Unfinished,2,497,Average/Typical,Paved,168,27,No,Good Privacy,No,Jun,2009,Warranty Deed - Conventional,Normal Sale,173000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,10410,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1916&1987,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,660,660,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,808,704,1656,0,2,3,1,Average/Typical,8,Minor Deductions 2,0,No,Detached from home,Unfinished,1,180,Fair,Dirt/Gravel,0,0,No,Minimum Privacy,No,Aug,2009,Warranty Deed - Conventional,Normal Sale,135000
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,64,7018,Paved,No alley access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to feeder street&Normal,Duplex,Split Foyer,Average,Average,1979,Gable,Standard (Composite) Shingle,Plywood,275,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1086,0,1086,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1224,0,1224,2,0,2,2,Average/Typical,6,Typical Functionality,2,Average,Detached from home,Unfinished,2,528,Average/Typical,Paved,120,0,No,No,No,Jun,2009,Warranty Deed - Conventional,Allocation,153337
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,41,4923,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Stone Brook,Normal,Townhouse End Unit,One story,Very Good,Average,2001&2002,Gable,Standard (Composite) Shingle,Cement Board,0,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1153,440,1593,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1593,0,1593,1,1,0,1,Excellent,5,Typical Functionality,1,Good,Attached to the home,Finished,2,682,Average/Typical,Paved,0,120,No,No,No,Aug,2008,Warranty Deed - Conventional,Normal Sale,286000
2-STORY 1945 & NEWER,Residential Low-Density,70,10570,Paved,No alley access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Crawford,Normal,Single-family Detached,Two-story,Very Good,Very Good,1932&1994,Hip,Standard (Composite) Shingle,Brick Face,0,Good&Average/Typical,Cinder Block,Good (90-99 inches),Good,No Exposure,Average Rec Room&Unfinished,297,556,853,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1549,1178,2727,0,2,3,1,Good,10,Major Deductions 1,2,Average,Detached from home,Unfinished,2,440,Average/Typical,Paved,0,74,No,No,No,Dec,2007,Warranty Deed - Conventional,Normal Sale,315000
2-STORY 1946 & NEWER,Residential Low-Density,0,7472,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Single-family Detached,Two-story,Good,Excellent,1972&2004,Gable,Standard (Composite) Shingle,Hard Board,138,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,626,99,725,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,725,754,1479,1,1,4,1,Good,7,Typical Functionality,0,No,Attached to the home,Finished,2,484,Average/Typical,Paved,0,32,No,No,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,184000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,9017,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,560,871,1431,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1431,0,1431,1,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Finished,2,666,Average/Typical,Paved,0,35,No,No,No,Sep,2009,Warranty Deed - Conventional,Normal Sale,192000
2-STORY PUD - 1946 & NEWER,Residential Medium Density,24,2522,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Twnhs,Two-story,Good,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,50,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,970,970,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,970,739,1709,0,2,3,1,Good,7,Major Deductions 1,0,No,Detached from home,Unfinished,2,380,Average/Typical,Paved,0,40,No,No,No,May,2006,Warranty Deed - Conventional,Normal Sale,130000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7180,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Average,Good,1972,Hip,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Unfinished,390,474,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,864,0,864,0,1,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,352,Average/Typical,Paved,0,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,127000
2-STORY PUD - 1946 & NEWER,Residential Low-Density,24,2280,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Northpark Villa,Normal,Twnhs,Two-story,Above Average,Above Average,1976,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,566,289,855,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,855,601,1456,0,2,3,1,Average/Typical,7,Typical Functionality,1,Average,Attached to the home,Unfinished,2,440,Average/Typical,Paved,87,0,No,No,No,Jul,2009,Warranty Deed - Conventional,Normal Sale,148500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,9416,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,One story,Good,Average,2007,Hip,Standard (Composite) Shingle,Cement Board,205,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1126,600,1726,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1726,0,1726,1,2,3,1,Excellent,8,Typical Functionality,1,Good,Attached to the home,Finished,3,786,Average/Typical,Paved,171,138,No,No,No,Sep,2007,Home just constructed and sold,Home was not completed when last assessed,311872
2-1/2 STORY ALL AGES,Residential Low-Density,174,25419,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Adjacent to arterial street&Normal,Single-family Detached,Two-story,Very Good,Below Average,1918&1990,Gable,Standard (Composite) Shingle,Stucco,0,Good,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Low Quality,1036,140,1360,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1360,1360,3112,1,2,4,1,Good,8,Typical Functionality,1,Excellent,Detached from home,Unfinished,2,795,Average/Typical,Paved,0,16,Excellent,Good Privacy,No,Mar,2006,Warranty Deed - Conventional,Abnormal Sale,235000
2-1/2 STORY ALL AGES,Residential Medium Density,92,5520,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Single-family Detached,Two and one-half story: 2nd level finished,Above Average,Above Average,1912&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,755,755,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,929,929,2229,0,1,5,1,Average/Typical,8,Typical Functionality,0,No,No,No,0,0,No,Paved,0,198,No,Minimum Privacy,No,Jul,2009,Warranty Deed - Conventional,Abnormal Sale,104000
